团购名称,旅行内容,已购人数,旅游ID,价格/1人,团购网址,注意事项,目的地景点,去的方式,回来的方式,团购公司,团购发布来源,住宿条件,浏览的总个数
哈尔滨 5天4夜 跟团游,一价全含+升级2+1头等舱??哈尔滨亚布力雪乡5天丨亚布力森林雪地温泉+滑雪3H+雪乡航拍vlog+雪地摩托+马拉爬犁+机票,0,647433179,5852,https://touch.dujia.qunar.com/p/item/647433179?date=2023-12-13&amp;tuId=PID647433179G461008952&amp;order_source=tts_tuan,建议至少在前1天的16:00分前预订,"黑龙江,亚布力,亚布力滑雪场度假区,亚布力高山观光索道,雪乡,雪乡国家森林公园,哈尔滨,哈尔滨冰雪大世界",自理去,自理去,敦煌树袋熊国际旅行社有限公司,树袋熊假期,1晚舒适型住宿; 2晚高档型住宿; 1晚豪华型住宿,全程游览19个景点
哈尔滨 5天4夜 跟团游,12人小团0购0自费?亚布力5S滑雪+童话雪乡+冰雪大世界5天??航拍Vlog|大雪谷-冰雪乐园|马拉爬犁|森林小火车+机票,0,3159627502,7146,https://touch.dujia.qunar.com/p/item/3159627502?date=2023-12-18&amp;tuId=PID3159627502G3505247838&amp;order_source=tts_tuan,建议至少在前1天的20:00分前预订,"黑龙江,亚布力,亚布力滑雪场度假区,亚布力新体委滑雪场,亚布力高山观光索道,雪乡,雪乡国家森林公园,哈尔滨,圣索菲亚教堂,中央大街步行街,防洪纪念塔",自理去,自理去,敦煌树袋熊国际旅行社有限公司,树袋熊假期,1晚高档型住宿; 3晚豪华型住宿,全程游览17个景点
哈尔滨 6天5夜 跟团游,冰雪哈尔滨-亚布力5S级滑雪+中国雪乡6日?极地登山车穿越龙江之巅-狗熊岭列车-雪地温泉-360°全景缆车观林海雪原+机票,0,2260798076,3711,https://touch.dujia.qunar.com/p/item/2260798076?date=2023-12-09&amp;tuId=PID2260798076G3668971310&amp;order_source=tts_tuan,建议至少在前1天的16:00分前预订,"黑龙江,亚布力,亚布力滑雪场度假区,亚布力新体委滑雪场,亚布力高山观光索道,雪乡,雪乡国家森林公园,哈尔滨,圣索菲亚教堂,防洪纪念塔,中央大街步行街",自理去,自理去,敦煌树袋熊国际旅行社有限公司,树袋熊假期,1晚经济型住宿; 3晚舒适型住宿; 1晚高档型住宿,全程游览23个景点
哈尔滨 5天4夜 跟团游,中国雪乡+小巴黎哈尔滨-亚布力激情滑雪5天??航拍VLOG-雪地温泉-360°全景缆车观林海雪原-雪地摩托-威虎寨+机票,0,3194396081,3566,https://touch.dujia.qunar.com/p/item/3194396081?date=2023-12-09&amp;tuId=PID3194396081G3845457032&amp;order_source=tts_tuan,建议至少在前1天的16:00分前预订,"黑龙江,亚布力,亚布力滑雪场度假区,亚布力新体委滑雪场,亚布力高山观光索道,雪乡,雪乡国家森林公园,哈尔滨,圣索菲亚教堂,防洪纪念塔,中央大街步行街",自理去,自理去,敦煌树袋熊国际旅行社有限公司,树袋熊假期,1晚经济型住宿; 2晚舒适型住宿; 1晚高档型住宿,全程游览23个景点
哈尔滨 6天5夜 跟团游,『秘境雪乡16人高端团』冰城·哈尔滨+雪域·亚布力6天?升级国五酒店.奢华享受|沐云山顶·天空之境|满汉全席|烟花+机票,0,259064187,6448,https://touch.dujia.qunar.com/p/item/259064187?date=2023-12-14&amp;tuId=PID259064187G3655180917&amp;order_source=tts_tuan,建议至少在前1天的16:00分前预订,"黑龙江,亚布力,亚布力滑雪场度假区,亚布力新体委滑雪场,亚布力高山观光索道,雪乡,雪乡国家森林公园,哈尔滨,圣索菲亚教堂,中央大街步行街,防洪纪念塔",自理去,自理去,敦煌树袋熊国际旅行社有限公司,树袋熊假期,1晚舒适型住宿; 2晚高档型住宿; 2晚豪华型住宿,全程游览23个景点
牡丹江 5天4夜 自由行,哈尔滨亚布力雪乡纯玩0自费5天丨3晚5鉆+雪乡升4鉆+拼车出行+滑雪温泉航拍+机票,0,380596699,7736,https://touch.dujia.qunar.com/p/item/380596699?date=2023-12-15&amp;tuId=PID380596699G584966902&amp;order_source=tts_tuan,建议至少在前1天的23:59分前预订,"中国,哈尔滨,亚布力,亚布力滑雪场度假区,雪乡,中央大街步行街,牡丹江,尚志市,亚布力滑雪场度假区,雪乡梦幻家园,雪乡国家森林公园,雪韵温泉,亚布力冰雪欢乐谷,哈尔滨冰雪大世界",自理去,自理去,成都中港国际旅行社有限公司成华第五分社,玩乐旅行,亚布力森林温泉酒店; 哈尔滨瑞辰RICH酒店(松北融创旅游城店); 雪乡雪筑·遇见酒店,空
大兴安岭 7天6夜 自由行,哈尔滨漠河雪乡纯玩7日丨666元大礼包+含票+豪华商务车+东北特色暖炕+机票,2,266329108,7211,https://touch.dujia.qunar.com/p/item/266329108?date=2023-12-14&amp;tuId=PID266329108G1741087938&amp;order_source=tts_tuan,建议至少在前1天的23:59分前预订,"中国,哈尔滨,哈尔滨冰雪乐园,哈尔滨大剧院,漠河,漠河县,雪乡,北极村,北极村村碑,黑龙江第一湾,大兴安岭,北极沙洲,北极星广场,松苑公园,漠河火灾纪念馆,鄂温克驯鹿园,中央大街步行街,北红村",自理去,自理去,成都中港国际旅行社有限公司成华第五分社,玩乐旅行,松悦酒店(哈尔滨火车站省政府店); 宏鑫商务宾馆; 青润艺术家公寓; 漠河漫时光青年旅舍,空
牡丹江 4天3夜 跟团游,私家订制一价全含/哈尔滨雪乡冰雪大世界4日/雪乡双人暖炕/雪地摩托/马拉爬犁/梦幻家园/东北二人转/画廊穿越+机票,23,3166813029,5118,https://touch.dujia.qunar.com/p/item/3166813029?date=2023-12-09&amp;tuId=PID3166813029G1365086752&amp;order_source=tts_tuan,建议至少在前1天的17:59分前预订,"哈尔滨,哈尔滨冰雪大世界,牡丹江,雪乡,雪乡梦幻家园,雪乡影视基地,雪乡国家森林公园",汽车去,汽车去,黑龙江腾达航空国际旅行社有限公司,黑龙江亚雪旅行网,1晚经济型住宿; 2晚高档型住宿,全程游览8个景点
哈尔滨 5天4夜 跟团游,私家订制/哈尔滨-亚布力-雪乡5日游/全程管家服务/专车直达雪乡/亚布力3小时滑雪/亚布力温泉酒店/雪乡双人暖炕独立卫浴+机票,107,2352127128,4499,https://touch.dujia.qunar.com/p/item/2352127128?date=2023-12-09&amp;tuId=PID2352127128G899598282&amp;order_source=tts_tuan,建议至少在前1天的10:59分前预订,"哈尔滨,亚布力,亚布力滑雪场度假区,亚布力高山观光索道,雪乡,雪乡国家森林公园,雪乡影视基地,尚志市,牡丹江",汽车去,汽车去,黑龙江腾达航空国际旅行社有限公司,黑龙江亚雪旅行网,3晚舒适型住宿; 1晚高档型住宿,全程游览10个景点
哈尔滨 5天4夜 跟团游,哈尔滨+亚布力+雪乡一价全含5日/两晚中央大街附近酒店+防寒雪服赠送3天+雪乡双人暖炕+摩托爬犁梦幻家园冰雪画廊一价全含+机票,107,2476542642,5262,https://touch.dujia.qunar.com/p/item/2476542642?date=2024-01-08&amp;tuId=PID2476542642G3767546088&amp;order_source=tts_tuan,建议至少在前2天的17:59分前预订,"哈尔滨,亚布力,亚布力滑雪场度假区,亚布力高山观光索道,雪乡,雪乡影视基地,雪乡国家森林公园,哈尔滨冰雪大世界",汽车去,汽车去,黑龙江腾达航空国际旅行社有限公司,黑龙江亚雪旅行网,1晚经济型住宿; 1晚舒适型住宿; 2晚高档型住宿,全程游览12个景点
牡丹江 4天3夜 跟团游,哈尔滨-雪乡4日/24小时机场接送/两晚中央大街附近酒店/雪乡双人暖炕/雪地摩托/马拉爬犁/梦幻家园二人转/冰雪画廊穿越+机票,15,247136791,3964,https://touch.dujia.qunar.com/p/item/247136791?date=2023-12-10&amp;tuId=PID247136791G2252038262&amp;order_source=tts_tuan,建议至少在前1天的22:00分前预订,"雪乡,哈尔滨,哈尔滨冰雪大世界,雪乡影视基地,雪乡梦幻家园,雪乡国家森林公园",汽车去,汽车去,黑龙江腾达航空国际旅行社有限公司,黑龙江亚雪旅行网,1晚经济型住宿; 2晚高档型住宿,全程游览8个景点
哈尔滨 4天3夜 跟团游,亚布力雪乡4日/24小时机场接送/中央大街附近酒店/双人暖炕/雪地摩托/马拉爬犁梦幻家园二人转/亚布力滑雪/吃东北铁锅炖+机票,10,866903344,4369,https://touch.dujia.qunar.com/p/item/866903344?date=2023-12-17&amp;tuId=PID866903344G12330737&amp;order_source=tts_tuan,建议至少在前1天的22:00分前预订,"亚布力,亚布力滑雪场度假区,雪乡,雪乡影视基地,雪乡国家森林公园,哈尔滨",汽车去,汽车去,黑龙江腾达航空国际旅行社有限公司,黑龙江亚雪旅行网,1晚经济型住宿; 2晚高档型住宿,全程游览9个景点
大兴安岭 6天5夜 跟团游,8人内小团/哈尔滨-雪乡-漠河-北极村6日/全程精品小团/雪乡一价全含/24小时接送机场/一晚中央大街附近住宿/双人暖炕+机票,49,301346421,5498,https://touch.dujia.qunar.com/p/item/301346421?date=2024-01-10&amp;tuId=PID301346421G3792188620&amp;order_source=tts_tuan,建议至少在前1天的21:30分前预订,"哈尔滨,漠河,北极村,雪乡,雪乡影视基地,雪乡国家森林公园,大兴安岭",汽车去,汽车去,黑龙江腾达航空国际旅行社有限公司,黑龙江亚雪旅行网,2晚经济型住宿; 1晚高档型住宿,全程游览17个景点
哈尔滨 5天4夜 跟团游,8人团/哈尔滨-亚布力-雪乡5日/一价全含/雪乡双人暖炕/一晚中央大街商圈酒店/一晚温泉酒店/免费接送机/含五正餐美食+机票,107,107116299,5289,https://touch.dujia.qunar.com/p/item/107116299?date=2023-12-09&amp;tuId=PID107116299G2491267948&amp;order_source=tts_tuan,建议至少在前1天的17:00分前预订,"哈尔滨,亚布力,亚布力滑雪场度假区,雪乡,雪乡影视基地,雪乡国家森林公园,牡丹江,尚志市,哈尔滨冰雪大世界,中央大街步行街,圣索菲亚教堂",汽车去,汽车去,黑龙江腾达航空国际旅行社有限公司,黑龙江亚雪旅行网,2晚舒适型住宿; 2晚高档型住宿,全程游览12个景点
哈尔滨 6天5夜 跟团游,一价全含-哈尔滨亚布力雪乡冰雪大世界6日/打卡狗熊岭/赠送雪服雪镜使用三天/雪乡升级双人暖炕/马拉爬犁雪地摩托梦幻家园+机票,138,4073328986,4438,https://touch.dujia.qunar.com/p/item/4073328986?date=2023-12-12&amp;tuId=PID4073328986G216666869&amp;order_source=tts_tuan,建议至少在前1天的15:00分前预订,"雪乡,亚布力,亚布力,亚布力滑雪场度假区,雪乡,雪乡影视基地,雪乡国家森林公园,尚志市,牡丹江,哈尔滨",汽车去,汽车去,黑龙江腾达航空国际旅行社有限公司,黑龙江亚雪旅行网,2晚舒适型住宿; 2晚高档型住宿; 1晚豪华型住宿,全程游览13个景点
大兴安岭 7天6夜 跟团游,2+1头等舱座椅/哈尔滨+雪乡+漠河+北极村7日/含马拉爬犁+雪地摩托+梦幻家园+二人转+北极沙洲+保证漠河往返卧铺，+机票,49,1360930222,5251,https://touch.dujia.qunar.com/p/item/1360930222?date=2024-01-09&amp;tuId=PID1360930222G1392970106&amp;order_source=tts_tuan,建议至少在前1天的17:59分前预订,"北极村,漠河县,北红村,漠河火灾纪念馆,雪乡,哈尔滨,亚布力,亚布力滑雪场度假区",汽车去,汽车去,黑龙江腾达航空国际旅行社有限公司,黑龙江亚雪旅行网,2晚经济型住宿; 2晚高档型住宿,全程游览13个景点
哈尔滨 5天4夜 跟团游,冰雪喜来登私家订制/哈尔滨-亚布力-雪乡5日游/0自费0购物/一晚国五酒店/亚布力温泉/三天雪服免费穿/放肆嗨玩一票到底+机票,5,42988445,5347,https://touch.dujia.qunar.com/p/item/42988445?date=2023-12-09&amp;tuId=PID42988445G4037273329&amp;order_source=tts_tuan,建议至少在前1天的17:59分前预订,"哈尔滨,亚布力,亚布力滑雪场度假区,亚布力高山观光索道,雪乡,雪乡影视基地,雪乡国家森林公园,哈尔滨冰雪大世界,中央大街步行街,斯大林公园,圣索菲亚教堂",汽车去,汽车去,黑龙江腾达航空国际旅行社有限公司,黑龙江亚雪旅行网,1晚舒适型住宿; 1晚高档型住宿; 2晚豪华型住宿,全程游览10个景点
哈尔滨 5天4夜 跟团游,一单一团/哈尔滨冰雪大世界+亚布力+雪乡5日/二进梦幻家园白+黑+两晚中央大街商圈酒店+雪乡连住两晚+私属小团/无限遐想+机票,107,2773524642,4825,https://touch.dujia.qunar.com/p/item/2773524642?date=2023-12-10&amp;tuId=PID2773524642G806795092&amp;order_source=tts_tuan,建议至少在前1天的21:59分前预订,"哈尔滨,亚布力,亚布力滑雪场度假区,雪乡,雪乡影视基地,雪乡国家森林公园,哈尔滨,哈尔滨冰雪大世界",汽车去,汽车去,黑龙江腾达航空国际旅行社有限公司,黑龙江亚雪旅行网,2晚舒适型住宿; 2晚高档型住宿,全程游览9个景点
哈尔滨 6天5夜 跟团游,高端订制/哈尔滨+亚布力+雪乡+冰雪大世界6日+一晚国际五星酒店+雪乡双人暖炕+亚布力温泉酒店+千元大包娱雪项目一价全含+机票,143,2171818986,5764,https://touch.dujia.qunar.com/p/item/2171818986?date=2023-12-14&amp;tuId=PID2171818986G1791276996&amp;order_source=tts_tuan,建议至少在前1天的18:00分前预订,"亚布力,雪乡,雪乡影视基地,雪乡国家森林公园,牡丹江,尚志市,哈尔滨",汽车去,汽车去,黑龙江腾达航空国际旅行社有限公司,黑龙江亚雪旅行网,1晚舒适型住宿; 2晚高档型住宿; 2晚豪华型住宿,全程游览13个景点
哈尔滨 5天4夜 跟团游,哈尔滨+亚布力+雪乡5日/三晚五钻酒店+防寒雪服赠送3天+雪地摩托马拉爬犁梦幻家园十里画廊+亚布力寒地温泉酒店+东北美食+机票,107,751751918,4845,https://touch.dujia.qunar.com/p/item/751751918?date=2023-12-10&amp;tuId=PID751751918G3021740556&amp;order_source=tts_tuan,建议至少在前2天的17:59分前预订,"哈尔滨,亚布力,亚布力滑雪场度假区,雪乡,雪乡影视基地,雪乡国家森林公园",汽车去,汽车去,黑龙江腾达航空国际旅行社有限公司,黑龙江亚雪旅行网,1晚经济型住宿; 1晚高档型住宿; 2晚豪华型住宿,全程游览11个景点
牡丹江 4天3夜 跟团游,哈尔滨-亚布力-雪乡4日/8人小团/两晚五钻+一晚精品民宿/24H机场接送/雪地摩托马拉爬犁梦幻家园二人转一价全含+机票,12,1043105494,4485,https://touch.dujia.qunar.com/p/item/1043105494?date=2023-12-10&amp;tuId=PID1043105494G88211436&amp;order_source=tts_tuan,建议至少在前1天的22:00分前预订,"雪乡,哈尔滨,哈尔滨冰雪大世界,雪乡影视基地,雪乡梦幻家园,雪乡国家森林公园",汽车去,汽车去,黑龙江腾达航空国际旅行社有限公司,黑龙江亚雪旅行网,1晚舒适型住宿; 1晚高档型住宿; 1晚豪华型住宿,全程游览8个景点
天津 6天5夜 跟团游,四钻酒店+真纯玩京津6日游?故宫+颐和园+长城+圆明园+天坛公园+升国旗+机票,18,2140388309,3613,https://touch.dujia.qunar.com/p/item/2140388309?date=2023-12-13&amp;tuId=PID2140388309G1683618746&amp;order_source=tts_tuan,建议至少在前1天的23:59分前预订,"北京,北京剧院,长城全周影院,八达岭残长城,八达岭长城往返缆车,升旗仪式,天安门广场,天安门城楼,天安门端门,人民英雄纪念碑,毛主席纪念堂,故宫,恭王府,恭王府大戏楼,恭王府数字体验馆,老北京胡同游,王府井天主堂,王府井中泰艺馆,北京失恋博物馆（王府井）,明皇蜡像宫,北京工业大学奥运羽毛球馆,鸟巢,水立方,水立方游泳馆,水立方嬉水乐园,天坛公园,颐和园,德和园,皇家御河游（昆玉河到颐和园）,天津,天津大学,天津大学,天津港,天津旧城,古文化街码头,古文化街燕乐升萍相声茶馆,天津古文化街,望海楼,瓷房子,外滩公园大沽化游船,海河外滩公园",汽车去,汽车去,北京结伴游国际旅行社有限公司,文旅旗舰店,5晚高档型住宿,全程游览19个景点
张家界 6天5夜 跟团游,25人团?纯玩0自费住五星?丨2+1巴士丨千古情表演丨长沙-韶山-张家界森林公园-百龙电梯-天门山-黄龙洞-凤凰6日+机票,37,2886227042,2754,https://touch.dujia.qunar.com/p/item/2886227042?date=2024-01-04&amp;tuId=PID2886227042G713906432&amp;order_source=tts_tuan,建议至少在前1天的16:00分前预订,"张家界,天门山,鬼谷栈道,通天大道,天门洞,天门山索道,张家界国家森林公园,袁家界,袁家界风景区,百龙电梯,金鞭溪,金鞭溪大峡谷,湖南,湘西,王村芙蓉镇,魅力湘西,凤凰古城,土家风情园,酉水画廊,沱江泛舟,沱江跳岩,北门城楼,天门山玻璃栈道,鬼谷栈道,天门洞,通天大道,黄龙洞",自理去,自理去,张家界大美湘西国际旅行社有限公司,张家界旅游官方旗舰店,3晚高档型住宿; 2晚豪华型住宿,全程游览33个景点
张家界 6天5夜 跟团游,25人团?纯玩0自费住五星?丨2+1巴士丨千古情表演丨长沙-韶山-张家界森林公园-百龙电梯-天门山-黄龙洞-凤凰6日+火车票,37,2886227042,2121,https://touch.dujia.qunar.com/p/item/2886227042?date=2023-12-29&amp;tuId=PID2886227042T3272801381&amp;order_source=tts_tuan,建议至少在前1天的16:00分前预订,"张家界,天门山,鬼谷栈道,通天大道,天门洞,天门山索道,张家界国家森林公园,袁家界,袁家界风景区,百龙电梯,金鞭溪,金鞭溪大峡谷,湖南,湘西,王村芙蓉镇,魅力湘西,凤凰古城,土家风情园,酉水画廊,沱江泛舟,沱江跳岩,北门城楼,天门山玻璃栈道,鬼谷栈道,天门洞,通天大道,黄龙洞",自理去,自理去,张家界大美湘西国际旅行社有限公司,张家界旅游官方旗舰店,3晚高档型住宿; 2晚豪华型住宿,全程游览33个景点
张家界 6天5夜 跟团游,一单一团?纯玩无购物?私家团VIP通道丨180°江景房丨苗族体验丨旅行航拍丨张家界国家森林公园-天门山-凤凰古城6日+机票,78,1258824654,4114,https://touch.dujia.qunar.com/p/item/1258824654?date=2023-12-13&amp;tuId=PID1258824654G1153979891&amp;order_source=tts_tuan,建议至少在前1天的16:00分前预订,"张家界,天门山,天门山玻璃栈道,魅力湘西,通天大道,天门洞,天门山寺,天门山索道,湘西,慈利县,湖南,张家界国家森林公园,袁家界,袁家界风景区,天子山,百龙电梯,黄石寨,黄石寨索道,金鞭溪,杨家界,凤凰古城,沱江,沱江跳岩,万名塔,十里画廊,天子山索道,王村芙蓉镇,宝峰湖",自理去,自理去,张家界大美湘西国际旅行社有限公司,张家界旅游官方旗舰店,5晚豪华型住宿,全程游览34个景点
张家界 5天4夜 跟团游,纯玩0自费?无超市无苗寨?一价全含丨高档住宿丨性价比超值丨二进森林公园+天门山+玻璃栈道+芙蓉镇+沱江泛舟+凤凰5日+机票,78,3182383722,2539,https://touch.dujia.qunar.com/p/item/3182383722?date=2023-12-14&amp;tuId=PID3182383722G2070105036&amp;order_source=tts_tuan,建议至少在前1天的17:00分前预订,"张家界,凤凰古城,天门山,通天大道,鬼谷栈道,张家界国家森林公园,袁家界,金鞭溪,天门山索道,天门山玻璃栈道,湘西,魅力湘西,魅力湘西大剧院,魅力凤凰篝火晚会,乾坤柱,天下第一桥,黄龙洞,御笔峰,天子山,贺龙公园,天门洞,王村芙蓉镇,酉水画廊,沱江,沱江跳岩,北门城楼,金鞭溪大峡谷,土家风情园",自理去,自理去,张家界大美湘西国际旅行社有限公司,张家界旅游官方旗舰店,1晚舒适型住宿; 3晚高档型住宿,空
张家界 6天5夜 跟团游,6人小团?纯玩无购物?赠百龙天梯丨6大VIP丨航拍视频丨沱江泛舟丨苗服美拍丨张家界森林公园-天门山-玻璃桥-凤凰6日+机票,78,3917567719,3157,https://touch.dujia.qunar.com/p/item/3917567719?date=2023-12-13&amp;tuId=PID3917567719G3466694&amp;order_source=tts_tuan,建议至少在前1天的16:00分前预订,"张家界,天门山,天门山玻璃栈道,魅力湘西,通天大道,天门洞,天门山寺,天门山索道,湘西,慈利县,湖南,张家界国家森林公园,袁家界,袁家界风景区,天子山,百龙电梯,黄石寨,黄石寨索道,金鞭溪,杨家界,凤凰古城,沱江,沱江跳岩,万名塔,十里画廊,天子山索道,王村芙蓉镇,云天渡玻璃桥,张家界大峡谷,张家界大峡谷玻璃桥",自理去,自理去,张家界大美湘西国际旅行社有限公司,张家界旅游官方旗舰店,5晚高档型住宿,全程游览35个景点
延边 6天5夜 跟团游,哈尔滨+长白山+延吉10人小包团?万达度假区畅玩+魔界漂流+长白山天池+机票,1,1246059587,5842,https://touch.dujia.qunar.com/p/item/1246059587?date=2023-12-13&amp;tuId=PID1246059587G2243013026&amp;order_source=tts_tuan,建议至少在前1天的23:59分前预订,"长白山,延吉市,延边,二道白河,长白山天池,长白瀑布群,长白山大关东文化园,长春,吉林,黑龙江,哈尔滨",自理去,自理去,北京云程国际旅行社有限公司,云程国旅旗舰店,1晚舒适型住宿; 4晚高档型住宿,全程游览12个景点
杭州 3天2夜 跟团游,最忆金陵南京牛首山夫子庙中山陵总统府外秦淮河大报恩寺三日跟团游+火车票,0,833724592,2404,https://touch.dujia.qunar.com/p/item/833724592?date=2023-12-11&amp;tuId=PID833724592T1560235183&amp;order_source=tts_tuan,建议至少在前3天的23:59分前预订,杭州,自理去,自理去,宝龙国际旅行社有限公司西海岸分公司,宝龙国际旗舰店,2晚豪华型住宿,全程游览6个景点
